,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.postalCode,venue.location.neighborhood,venue.venuePage.id,flags.outsideRadius
32,e-0-4d5938db8492a14357992427-32,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d5938db8492a14357992427,Tim Hortons,7089 Lougheed Hwy,,49.2590297,-122.9568103,"[{'label': 'display', 'lat': 49.2590297, 'lng': -122.9568103}]",CA,Burnaby,BC,Canada,"['7089 Lougheed Hwy', 'Burnaby BC V5A 1W1', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5A 1W1,,,
33,e-0-4c97322415829521f2262fa8-33,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c97322415829521f2262fa8,Tim Hortons,6525 Oak St,49th,49.22624765962016,-123.12898479402065,"[{'label': 'display', 'lat': 49.22624765962016, 'lng': -123.12898479402065}]",CA,Vancouver,BC,Canada,"['6525 Oak St (49th)', 'Vancouver BC V6P 3Z3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6P 3Z3,,,
34,e-0-4aefd2edf964a52048da21e3-34,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aefd2edf964a52048da21e3,Caffe Perugia,2350 Health Sciences Mall,Agronomy Rd,49.26219099291395,-123.24510168554895,"[{'label': 'display', 'lat': 49.26219099291395, 'lng': -123.24510168554895}]",CA,Vancouver,BC,Canada,"['2350 Health Sciences Mall (Agronomy Rd)', 'Vancouver BC', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,
35,e-0-4be7566c2457a59318e0ad15-35,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4be7566c2457a59318e0ad15,Tim Hortons,Vancouver International Airport (YVR),"after Security, Gate C28",49.194810371893844,-123.18424446600761,"[{'label': 'display', 'lat': 49.194810371893844, 'lng': -123.18424446600761}]",CA,Richmond,BC,Canada,"['Vancouver International Airport (YVR) (after Security, Gate C28)', 'Richmond BC', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,
36,e-0-5b9032b4345cbe00398a8d6a-36,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5b9032b4345cbe00398a8d6a,Matchstick Coffee Roasters,1328 Richards St,btwn Drake & Pacific,49.274582128506026,-123.126511995719,"[{'label': 'display', 'lat': 49.274582128506026, 'lng': -123.126511995719}]",CA,Vancouver,BC,Canada,"['1328 Richards St (btwn Drake & Pacific)', 'Vancouver BC V6B 3G6', 'Canada']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],V6B 3G6,Financial District,,
37,e-0-4b27ee1bf964a5207c8c24e3-37,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b27ee1bf964a5207c8c24e3,Tim Hortons,463 Robson St,Btw Richards & Homer,49.27995800089883,-123.11729368220904,"[{'label': 'display', 'lat': 49.27995800089883, 'lng': -123.11729368220904}]",CA,Vancouver,BC,Canada,"['463 Robson St (Btw Richards & Homer)', 'Vancouver BC V6B 6L9', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6B 6L9,,,
38,e-0-5633e914498ea3a0b61e4567-38,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5633e914498ea3a0b61e4567,Platform 7 Coffee,2300 West Broadway,Vine,49.263816242582784,-123.15764772708071,"[{'label': 'display', 'lat': 49.263816242582784, 'lng': -123.15764772708071}]",CA,Vancouver,BC,Canada,"['2300 West Broadway (Vine)', 'Vancouver BC', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,
39,e-0-4abd14a1f964a520598820e3-39,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4abd14a1f964a520598820e3,Tim Hortons,"678 Dunsmuir, Unit 10",,49.2832521,-123.1156141,"[{'label': 'display', 'lat': 49.2832521, 'lng': -123.1156141}]",CA,Vancouver,BC,Canada,"['678 Dunsmuir, Unit 10', 'Vancouver BC V6B 1N3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6B 1N3,,,
40,e-0-4aae51bff964a520d86120e3-40,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aae51bff964a520d86120e3,Tim Hortons,4191 Lougheed Highway,btwn Gilmore & Madison Ave.,49.266539135049875,-123.0122879147529,"[{'label': 'display', 'lat': 49.266539135049875, 'lng': -123.0122879147529}]",CA,Burnaby,BC,Canada,"['4191 Lougheed Highway (btwn Gilmore & Madison Ave.)', 'Burnaby BC V5C 3Y6', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5C 3Y6,,,
41,e-0-4aa808b9f964a520e34e20e3-41,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aa808b9f964a520e34e20e3,Tim Hortons,"132 Esplanade West, Unit 112",,49.3116295,-123.0803841,"[{'label': 'display', 'lat': 49.3116295, 'lng': -123.0803841}]",CA,North Vancouver,BC,Canada,"['132 Esplanade West, Unit 112', 'North Vancouver BC V7M 1A2', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V7M 1A2,,,
